iter	Passed	Remaining
0	154	154581
1	156	78160
2	158	52519
3	159	39716
4	160	32036
5	162	26950
6	164	23274
7	165	20527
8	167	18395
9	169	16775
10	171	15392
11	172	14213
12	174	13227
13	175	12389
14	177	11654
15	178	11003
16	180	10463
17	182	9944
18	183	9494
19	185	9085
20	187	8731
21	188	8387
22	189	8069
23	191	7775
24	192	7523
25	194	7286
26	195	7061
27	197	6844
28	198	6657
29	200	6475
30	201	6303
31	202	6138
32	204	5994
33	205	5850
34	207	5711
35	208	5588
36	210	5471
37	211	5361
38	213	5254
39	214	5152
40	216	5066
41	218	4985
42	220	4901
43	221	4818
44	223	4735
45	224	4659
46	226	4584
47	227	4516
48	229	4452
49	231	4390
50	232	4332
51	234	4273
52	236	4218
53	237	4165
54	239	4112
55	241	4062
56	242	4011
57	243	3960
58	245	3916
59	247	3872
60	249	3833
61	250	3793
62	252	3755
63	254	3721
64	255	3680
65	257	3640
66	259	3608
67	260	3576
68	262	3539
69	263	3500
70	265	3472
71	267	3441
72	268	3409
73	269	3377
74	271	3349
75	273	3319
76	274	3292
77	276	3265
78	278	3247
79	280	3221
80	281	3193
81	282	3167
82	284	3137
83	285	3117
84	287	3094
85	288	3069
86	290	3049
87	292	3026
88	293	3007
89	295	2986
90	297	2966
91	298	2945
92	299	2922
93	301	2903
94	303	2888
95	304	2869
96	306	2850
97	307	2832
98	309	2818
99	311	2799
100	312	2782
101	314	2765
102	315	2749
103	317	2731
104	318	2714
105	320	2699
106	321	2686
107	323	2669
108	324	2654
109	326	2638
110	327	2623
111	329	2608
112	330	2593
113	331	2577
114	333	2566
115	335	2554
116	336	2538
117	337	2524
118	339	2512
119	340	2498
120	342	2485
121	343	2470
122	344	2458
123	346	2450
124	348	2437
125	349	2424
126	350	2408
127	352	2398
128	353	2388
129	355	2376
130	356	2363
131	357	2353
132	359	2341
133	360	2331
134	362	2321
135	363	2312
136	365	2302
137	367	2293
138	368	2282
139	369	2271
140	371	2265
141	372	2252
142	374	2242
143	375	2233
144	377	2224
145	378	2216
146	380	2206
147	381	2197
148	383	2192
149	385	2183
150	386	2175
151	388	2166
152	389	2158
153	391	2152
154	393	2143
155	394	2134
156	396	2128
157	398	2121
158	399	2113
159	400	2104
160	401	2094
161	403	2085
162	404	2077
163	406	2070
164	407	2063
165	409	2057
166	410	2048
167	412	2041
168	413	2034
169	415	2027
170	416	2020
171	418	2012
172	419	2005
173	420	1998
174	422	1991
175	423	1984
176	425	1976
177	426	1970
178	428	1964
179	429	1957
180	431	1951
181	432	1944
182	434	1937
183	435	1930
184	436	1923
185	437	1916
186	439	1909
187	440	1904
188	442	1897
