iter	Passed	Remaining
0	1	151
1	3	147
2	4	142
3	5	134
4	7	136
5	8	140
6	10	139
7	11	134
8	13	131
9	14	134
10	16	134
11	18	134
12	19	131
13	21	130
14	22	127
15	23	125
16	25	124
17	26	122
18	28	122
19	30	120
20	31	118
21	33	117
22	34	116
23	36	114
24	37	113
25	39	112
26	40	110
27	42	108
28	43	106
29	45	106
30	47	105
31	48	103
32	50	102
33	52	101
34	53	100
35	55	98
36	56	96
37	58	95
38	59	93
39	61	91
40	62	89
41	63	87
42	64	85
43	66	84
44	67	82
45	69	81
46	70	79
47	71	77
48	73	76
49	75	75
50	76	73
51	78	72
52	79	70
53	80	68
54	81	67
55	83	65
56	84	63
57	86	62
58	87	60
59	89	59
60	90	57
61	92	56
62	93	55
63	95	53
64	96	52
65	98	50
66	99	49
67	101	47
68	102	46
69	104	44
70	105	43
71	107	41
72	109	40
73	110	38
74	112	37
75	113	35
76	115	34
77	116	32
78	118	31
79	120	30
80	121	28
81	122	26
82	124	25
83	126	24
84	127	22
85	129	21
86	130	19
87	132	18
88	133	16
89	135	15
90	136	13
91	138	12
92	140	10
93	141	9
94	142	7
95	144	6
96	145	4
97	147	3
98	148	1
99	150	0
